finn_kode,tittel,pris,storrelse_kvm,pris_per_kvm,boligtype,kommune,lenke
429723151,"Sarpsborg sentrum - Delikat 3-roms selveierleilighet| Sentralt med nærheten til ""alt""| Parkering",2950000.0,71.0,41549.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=429723151
448029403,Hannestad - Ny kjedet enebolig (2025) med 3 soverom og 2 bad | Barnevennlig og rolig beliggenhet på Hannestad | Terrasse og balkong,5380000.0,108.0,49815.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=448029403
408529676,Bjørnstad/Grålum - Lys og moderne 3-roms selveierleilighet fra 2022 - Attraktiv beliggenhet på Grålum/Bjørnstad - 1. etasje - Vedovn,3650000.0,76.0,48026.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=408529676
393350604,"Kurland - Kurland | Attraktiv 2-roms med moderne standard, flott utsikt og oppvarming inkludert",2200000.0,55.0,40000.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=393350604
447522656,Borgenhaugen - Pen vertikaldelt halvpart - Byggeår 2022 - 3 soverom - Solrik uteplass,3650000.0,87.0,41954.0,Tomannsbolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447522656
447723688,Kløvningsten/Hevingen - Halvpart av tomannsbolig med skjermet beliggenhet - God standard - 3 soverom + kontor,4600000.0,117.0,39316.0,Tomannsbolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447723688
447575767,Innholdsrik og moderne 2-roms | Elegant baderom fra 2025 | Solrik veranda | P.Plass | Attraktiv beliggenhet,2200000.0,49.0,44898.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447575767
447456390,Sandesund - Innholdsrik familiebolig med sentral beliggenhet | Terrasse m/ Pergolux (2022) | Bad fra 2017 | Garasje,6750000.0,240.0,28125.0,Enebolig,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447456390
426369981,Hafslundsøy - Flott beliggende 3-roms med nydelig utsikt over Glomma | Nytt i 2022 | IN-ordning | Carport m/bod,2650000.0,76.0,34868.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=426369981
426518273,"Hafslundsøy - Innflytningsklar 3-roms med trappefri adkomst sentralt på ""Øya"" | Koselig uteplass | Carport m/bod",1950000.0,68.0,28676.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=426518273
447469976,Hannestad - Familievennlig 4-roms rekkehus på Hannestad | Sydvendt terrasse m/ hagedel | 3 soverom,1690000.0,72.0,23472.0,Rekkehus,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=447469976
445954335,Alvim - Lys og luftig 3-roms i tredje etasje med god planløsning | Overbygd balkong med fin utsikt | Sentrumsnært | Parkering,1650000.0,71.0,23239.0,Leilighet,Sarpsborg,https://www.finn.no/realestate/homes/ad.html?finnkode=445954335
